"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","482","should be served over HTTPS","Cart Security Tests","Thu Apr 17 01:12:09 CEST 2025","passed","Thu Apr 17 01:12:10 CEST 2025","","","",""
"","8544","should update total price when quantity changes","Cart Functionality - LamboDrip","Thu Apr 17 01:11:33 CEST 2025","passed","Thu Apr 17 01:11:42 CEST 2025","","","",""
"","3831","should have no active XHR requests after load","Cart Perf","Thu Apr 17 01:12:04 CEST 2025","passed","Thu Apr 17 01:12:08 CEST 2025","","","",""
"","1402","should apply correct typography for headings","Homepage UI Tests","Thu Apr 17 01:13:04 CEST 2025","passed","Thu Apr 17 01:13:06 CEST 2025","","Visual Appearance","",""
"","2222","should update localization and currency when a different country is selected","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:25 CEST 2025","passed","Thu Apr 17 01:12:28 CEST 2025","","","",""
"","2671","should load Google Fonts or third-party scripts successfully","Homepage Perf","Thu Apr 17 01:12:45 CEST 2025","passed","Thu Apr 17 01:12:47 CEST 2025","","","",""
"","2149","should report all accessibility violations on load without failing","Homepage Accessibility","Thu Apr 17 01:12:31 CEST 2025","passed","Thu Apr 17 01:12:33 CEST 2025","","","",""
"","3344","should have no broken large assets (img, css)","Cart Perf","Thu Apr 17 01:11:53 CEST 2025","passed","Thu Apr 17 01:11:56 CEST 2025","","","",""
"","1396","should maintain layout integrity on a desktop viewport","Homepage UI Tests","Thu Apr 17 01:13:09 CEST 2025","passed","Thu Apr 17 01:13:10 CEST 2025","","Responsive Design","",""
"","2171","should verify all visible header links are valid (internal only)","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:23 CEST 2025","passed","Thu Apr 17 01:12:25 CEST 2025","","","",""
"","1622","should display the logo with correct dimensions","Homepage UI Tests","Thu Apr 17 01:13:03 CEST 2025","passed","Thu Apr 17 01:13:04 CEST 2025","","Visual Appearance","",""
"","3411","should warn if any large assets are loaded (img > 1MB, css > 300KB)","Cart Perf","Thu Apr 17 01:11:59 CEST 2025","passed","Thu Apr 17 01:12:02 CEST 2025","","","",""
"","1786","should render main CTA text in less than 1500ms","Cart Perf","Thu Apr 17 01:12:02 CEST 2025","passed","Thu Apr 17 01:12:04 CEST 2025","","","",""
"","1649","should load the homepage correctly","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:12 CEST 2025","passed","Thu Apr 17 01:12:14 CEST 2025","","","",""
"","264","visits homepage with allure tags","Allure Cypress Demo","Thu Apr 17 01:16:51 CEST 2025","broken","Thu Apr 17 01:16:51 CEST 2025","","","",""
"","2831","should load Google Fonts or third-party scripts successfully","Cart Perf","Thu Apr 17 01:11:56 CEST 2025","passed","Thu Apr 17 01:11:59 CEST 2025","","","",""
"","811","should not trigger an alert when submitting an XSS payload in URL","Cart Security Tests","Thu Apr 17 01:12:10 CEST 2025","passed","Thu Apr 17 01:12:11 CEST 2025","","","",""
"","7501","should allow removing a product from the cart","Cart Functionality - LamboDrip","Thu Apr 17 01:11:00 CEST 2025","passed","Thu Apr 17 01:11:08 CEST 2025","","","",""
"","7474","should allow changing the quantity of a product in the cart","Cart Functionality - LamboDrip","Thu Apr 17 01:10:53 CEST 2025","passed","Thu Apr 17 01:11:00 CEST 2025","","","",""
"","1959","should navigate back home via the logo","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:17 CEST 2025","passed","Thu Apr 17 01:12:19 CEST 2025","","","",""
"","1674","should load main hero section under 1500ms","Cart Perf","Thu Apr 17 01:11:51 CEST 2025","passed","Thu Apr 17 01:11:53 CEST 2025","","","",""
"","1419","should display the CTA correctly on a mobile viewport","Homepage UI Tests","Thu Apr 17 01:13:07 CEST 2025","passed","Thu Apr 17 01:13:09 CEST 2025","","Responsive Design","",""
"","384","should show main CTA properly on mobile","📱 Mobile Viewport - LamboDrip Homepage","Thu Apr 17 01:13:17 CEST 2025","skipped","Thu Apr 17 01:13:17 CEST 2025","","","",""
"","5181","should add a product to the cart from product page","Cart Functionality - LamboDrip","Thu Apr 17 01:10:47 CEST 2025","passed","Thu Apr 17 01:10:53 CEST 2025","","","",""
"","192","should have common security headers","Cart Security Tests","Thu Apr 17 01:12:10 CEST 2025","passed","Thu Apr 17 01:12:10 CEST 2025","","","",""
"","1535","should open the mobile menu if present","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:28 CEST 2025","passed","Thu Apr 17 01:12:29 CEST 2025","","","",""
"","9919","should handle multiple products in the cart","Cart Functionality - LamboDrip","Thu Apr 17 01:11:08 CEST 2025","passed","Thu Apr 17 01:11:18 CEST 2025","","","",""
"","1773","should render main CTA text in less than 1500ms","Homepage Perf","Thu Apr 17 01:12:52 CEST 2025","passed","Thu Apr 17 01:12:54 CEST 2025","","","",""
"","2143","should report all accessibility violations on load without failing","Carty Accessibility","Thu Apr 17 01:11:44 CEST 2025","passed","Thu Apr 17 01:11:46 CEST 2025","","","",""
"","505","should not contain inline event handler attributes on visible elements","Homepage Security Tests","Thu Apr 17 01:13:01 CEST 2025","passed","Thu Apr 17 01:13:01 CEST 2025","","","",""
"","1969","should load the Cart in under 2 seconds (DOM interactive)","Cart Perf","Thu Apr 17 01:11:47 CEST 2025","passed","Thu Apr 17 01:11:49 CEST 2025","","","",""
"","769","should not trigger an alert when submitting an XSS payload in URL","Homepage Security Tests","Thu Apr 17 01:13:00 CEST 2025","passed","Thu Apr 17 01:13:01 CEST 2025","","","",""
"","1925","should load the homepage in under 2 seconds (DOM interactive)","Homepage Perf","Thu Apr 17 01:12:34 CEST 2025","passed","Thu Apr 17 01:12:36 CEST 2025","","","",""
"","1917","should display the header quickly (under 1s)","Homepage Perf","Thu Apr 17 01:12:36 CEST 2025","passed","Thu Apr 17 01:12:38 CEST 2025","","","",""
"","473","should be served over HTTPS","Homepage Security Tests","Thu Apr 17 01:12:59 CEST 2025","passed","Thu Apr 17 01:13:00 CEST 2025","","","",""
"","1856","should navigate to Terms or FAQ from footer","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:21 CEST 2025","passed","Thu Apr 17 01:12:23 CEST 2025","","","",""
"","140","should have common security headers","Homepage Security Tests","Thu Apr 17 01:13:00 CEST 2025","passed","Thu Apr 17 01:13:00 CEST 2025","","","",""
"","356","should not contain inline event handler attributes on visible elements","Cart Security Tests","Thu Apr 17 01:12:11 CEST 2025","passed","Thu Apr 17 01:12:11 CEST 2025","","","",""
"","3012","should navigate to a product page from homepage","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:14 CEST 2025","passed","Thu Apr 17 01:12:17 CEST 2025","","","",""
"","542","should display the logo and mobile nav","📱 Mobile Viewport - LamboDrip Homepage","Thu Apr 17 01:13:11 CEST 2025","passed","Thu Apr 17 01:13:12 CEST 2025","","","",""
"","2157","should navigate to the Shop page","Navigation - LamboDrip Homepage","Thu Apr 17 01:12:19 CEST 2025","passed","Thu Apr 17 01:12:21 CEST 2025","","","",""
"","4666","should have no broken large assets (img, css)","Homepage Perf","Thu Apr 17 01:12:40 CEST 2025","passed","Thu Apr 17 01:12:45 CEST 2025","","","",""
"","4566","should warn if any large assets are loaded (img > 1MB, css > 300KB)","Homepage Perf","Thu Apr 17 01:12:47 CEST 2025","passed","Thu Apr 17 01:12:52 CEST 2025","","","",""
"","4324","should have no active XHR requests after load","Homepage Perf","Thu Apr 17 01:12:54 CEST 2025","passed","Thu Apr 17 01:12:58 CEST 2025","","","",""
"","1718","should display the header quickly (under 1s)","Cart Perf","Thu Apr 17 01:11:49 CEST 2025","passed","Thu Apr 17 01:11:51 CEST 2025","","","",""
"","2804","should show the cart as empty when nothing is added","Cart Functionality - LamboDrip","Thu Apr 17 01:10:45 CEST 2025","passed","Thu Apr 17 01:10:47 CEST 2025","","","",""
"","1449","should have the correct background color in the hero section","Homepage UI Tests","Thu Apr 17 01:13:06 CEST 2025","passed","Thu Apr 17 01:13:07 CEST 2025","","Visual Appearance","",""
"","15478","should go to checkout from the cart","Cart Functionality - LamboDrip","Thu Apr 17 01:11:18 CEST 2025","passed","Thu Apr 17 01:11:33 CEST 2025","","","",""
"","1691","should load main hero section under 1500ms","Homepage Perf","Thu Apr 17 01:12:38 CEST 2025","passed","Thu Apr 17 01:12:40 CEST 2025","","","",""
